152305	2	0	Zu den Testungen: Die Flächenscreenings sind gerade in Umsetzung, auch dieses Wo­chenende wieder, ich selber werde am Sonntag sechs Stunden beim Erfassen dieser Screenings mithelfen.
193791	2	1	Können Sie sich das vorstellen? Wenn 130 000 Dosen am Tag in Österreich verimpft werden müssen, dann schafft alleine das Austria Center, das Vienna International Center, 30 000. – Großartig!
194861	2	2	Die Grenze, bis zu der für Entschädigungen in den Teststraßen keine Sozialversicherungsbeiträge anfallen, konnte von 537 Euro auf 1 000 Euro monatlich angehoben werden. Diese Novelle gilt jetzt auch für jene Freiwilligen, die in den Impfstraßen arbeiten, und darüber bin ich sehr glücklich. Das gilt rückwirkend ab dem 1.
45092	2	1	Das Projekt müsste man jetzt in Angriff nehmen, damit die Kiste läuft, wenn die Impfung dann einmal da ist.
166483	0	0	Sie ändern mit diesem Gesetzesantrag, den Sie hier vorliegen haben, das Medizinproduktegesetz, um den Fehler auszugleichen, den Ihr Bundesminister Faßmann gemacht hat, indem er Tests angekauft hat und behauptet hat, dass sie zur Laienanwendung geeignet sind, und diese Tests, die dafür aber nicht zugelassen sind, jetzt trotzdem an Schüler, Eltern und Lehrer verteilt, ohne dass es eine entsprechende rechtliche Grundlage dafür gibt.
158050	2	0	Ein letztes Argument – weil ich vorhin den Zwischenruf von Kollegen Wurm gehört habe: Es darf sich eh jeder impfen lassen! –: Das ist richtig, und ich bin auch überzeugt davon, dass es nichts bringt, da Zwang anzuwenden, aber der Punkt ist: Es geht nicht darum, ob ich mich impfen lasse. Schauen Sie, ich bin noch vergleichsweise jung, bin halbwegs gesund.
64129	0	0	Sie sitzen recht locker da, Sie machen also weiter wie gehabt. Sie spielen das Spiel weiter, mit Ihrer Maske, aber was das sozial bedeutet, Herr Minister, das spüre ich nicht, auch nicht in Ausschüssen, wenn Sie da sind. Sie machen das sehr professionell – da kann man nichts sagen –, aber ich spüre da keine Emotion.
161648	2	1	Ich glaube, es wird notwendig sein, dass die Bevölkerung ihre Impfdaten einfach und digital zugänglich selbst sehen kann. Griechenland zum Beispiel hat schon angekündigt, dass es nur Menschen mit einer Impfung ins Land lassen möch­te, das heißt, man muss schauen, dass der bürokratische Aufwand so gering wie möglich gehalten wird. Apropos bürokratischer Aufwand: Bei Coronaimpfungen ist es derzeit notwendig, einen zweiseitigen Aufklärungs- und Dokumentationsbogen inklusive der Gebrauchsinforma­tionen mit einer Unterschrift zu bestätigen.
184883	1	0	Sie dürfen etwas mehr, und Menschen, die noch nicht geimpft sind, werden in Österreich in Zukunft auch weniger Rechte haben. Man schafft also Menschen zweiter Klasse – und das ist in dieser Krise in Wahrheit blanker Hohn für Menschen, die noch verzweifelt auf den Impfstoff warten. Es gibt Menschen, die verzweifelt sind, die sich um ihre Eltern, ihre Lebensgefährtin oder ihren Lebensgefährten Sorgen machen.
121072	2	0	Auf eine Petition möchte ich heute Bezug nehmen – die Petition Nummer 16, „Globaler Zugang für durch öffentliche Forschungsgelder finanzierte Medikamente, Impfungen und Diagnostik zur Bekämpfung von COVID-19“, vom 22.4.2020. Noch nie zuvor in der Geschichte gab es eine so umfassende weltweite Zusammenarbeit in der Erforschung eines Impfstoffs beziehungsweise Mittels zur Behandlung einer Krank­heit. Die Entwicklung und Erprobung sowohl eines wirksamen Impfstoffes als auch einer medikamentösen Behandlung betreffend Covid-19 haben in Österreich sowie weltweit oberste Priorität.
105485	2	0	Noch wirkungsvoller ist ein Maßnahmenmix bestehend aus Maske, Abstandhalten, Hy­giene, einem funktionierenden Contacttracing, also dem Nachverfolgen einer begrenz­ten Anzahl von Teilnehmern an Veranstaltungen , und auch Beschränkungen von Reisen in Länder mit hohen Infektions­zahlen.
53233	0	1	Müssen Eltern jederzeit damit rechnen, dass der Kin­dergarten oder die Schule geschlossen wird? Muss ein Unternehmer jederzeit damit rechnen, dass seine Baustelle geschlossen wird, weil ein Mitarbeiter auf der Baustelle positiv getestet wurde? Wenn im Sommer in einem Hotel ein Coronafall auftritt, schlie­ßen Sie für 14 Tage das ganze Hotel?
36121	2	2	Der wirkliche Durchbruch wird erst gelingen, wenn es einen Impfstoff gibt oder ein Medikament erfunden wird.
180935	2	1	Und bei der Impfgeschwindigkeit – das haben wir heute schon gehört – sind wir unter den Top Ten und weltweit unter den Top 15.
105428	0	0	Pressekonferenzen, Verordnungen, Politik durch Zuruf, Interviews: Der ganze Coronawahnsinn, ausgelöst von dieser Bundesregierung, hat dazu geführt, dass sich die Menschen in unserem Land nicht mehr auskennen, dass Unsicherheit herrscht, dass Unruhe herrscht. Die Menschen kennen sich nicht mehr aus: Maskenpflicht – nein, ja? Osterbesuch erlaubt – nein, ja?
160023	0	0	Das ist nicht nachvollziehbar. Das ist das, was ich als Impfchaos bezeichne. Das ist die eine Seite der Medaille.
71860	2	2	Es ist jetzt schon eins vor zwölf, nicht eins nach zwölf, um Grippeimpfstoff zu erhalten, es ist also höchste Zeit. Es würde niemand verstehen, wenn wir zu wenig Grippeimpfstoff hätten, nur weil wir coronatraumatisiert nicht voraus­schauend gedacht haben. In diesem Sinne unterstützen wir den Antrag, Grippeimpfstoff zu beschaffen, wie der Herr Minis­ter ausgeführt hat.
147617	0	0	Begonnen bei den absolut absurden Massentestungen, die zurzeit durchgeführt werden, die nichts anderes als eine groß angelegte Umverteilung von zig Millionen Euro Steuergeld von der Bevölkerung in Richtung Pharmaindustrie sind, bis hin zur Einschränkung und zum Ausverkauf unserer Freiheitsrechte, kann es so nicht weitergehen. Sehr geehrte Damen und Herren, da bin ich auch schon bei den Massentestungen. Ich habe einen Test direkt aus einem Ministerium mitgebracht, mit dem auch die Massen­tests durchgeführt werden, und für den „Patienten“ – unter Anführungszeichen – han­delsübliches Cola.
105299	0	1	Dort hat sich die Ärztekammer zusammengerauft, sie hat Mut gefasst und gesagt: Es gibt keine zweite Welle!, sie hat festgestellt: Es gibt eine Testwelle, und zwar einen Testtsu­nami. – Sie ist dafür, Tests nur bei Menschen mit ernsthaften Krankheitssymptomen durchzuführen, nur dafür seien diese Tests auch geeignet. Sie pocht auf Vernunft und Eigenverantwortung und sie fordert dazu auf, dass sich die Politik aus der Medizin he­raushalten soll.
185440	2	2	Das heißt, auch diese Gruppen sind nicht berücksichtigt, und da geht gar nichts weiter. Das Einzige, wo jetzt etwas weitergeht – da haben Sie die Zahlen genannt –, ist eben die Sache mit den Testungen. Ja, wir haben jetzt die Möglichkeit, sehr viele Testungen durchzuführen, und das ist gut so.
161977	2	0	Herr Kollege Wurm, ich habe Sie schon konstruktiver erlebt. Testungen mit dem Tragen einer Fußfessel zu vergleichen, dazu kann man wirklich nichts mehr sagen. Sie wissen auch, dass Impfungen freiwillig sind.
63542	0	0	Während des Lockdowns waren wirklich auch die Kinderrechte massiv eingeschränkt.
147933	1	1	Ich möchte mich jetzt doch noch kurz auf den vorigen Tagesord­nungspunkt beziehen. Herr Amesbauer, weil Sie vorhin so verwirrt geschaut haben: Natürlich hat Ihre Kollegin gesagt, man soll sich vor Weihnachten nicht testen lassen. Ich habe das Gefühl, das mit diesem Colatest hier vorne ist so die Liga der testoste­rongesteuerten Kronprinzen des Herrn Kickl, die da um die Gunst buhlen, wer wohl besser aussteigt und irgendwann ans Ruder kommt.
184885	0	0	Es gibt Menschen, die verzweifelt sind, die sich um ihre Eltern, ihre Lebensgefährtin oder ihren Lebensgefährten Sorgen machen. Wir kennen ja alle diese Beispiele, das sind oft Menschen, die Risikopatientinnen und Risikopatienten sind, die in Österreich alle bis heute keine Impfung bekommen haben. Dann schreibt man in den Entwurf und macht sich Gedanken darüber: Menschen, die bereits eine Impfung haben, sollen mehr Rechte haben als andere.
160116	2	0	Das machen Sie nicht – wir lesen in den Boulevardmedien, wann die Schulen vielleicht wieder aufsperren, das trägt zur Verunsicherung bei. Kollegin Blimlinger hat gesagt, man muss den Menschen die Angst nehmen – ja, nicht nur die Angst beim Impfen, sondern auch die Angst, dass Sie keine Strategie haben, Herr Bundesminister. Ich würde Sie wirklich ersuchen, dass Sie endlich beginnen, mit den Leuten auf Augenhöhe zu kommunizieren.
158563	2	2	Jeder einzelne Tote, den Sie mehr produzieren, wenn Sie diesen Verschwörungstheoretikern, diesen Impf­gegnern Raum geben, Luft geben, das Gefühl geben, dass es das Richtige ist, was sie tun, ist ein Schaden.
